timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1755583558.9120300,943.663,1623.4066,1228.1318,1156.8132,nan,nan,,,,,,,,,
1755583558.9176812,881.6117,1618.5714,1169.7069,1122.5641,nan,nan,,,,,,,,,
1755583558.9233325,834.87177,1617.3627,1169.7069,1115.3114,nan,nan,,,,,,,,,
1755583558.9289834,855.0183,1623.0037,1172.9304,1145.1282,nan,nan,,,,,,,,,
1755583558.9338045,,,,,,,,,,1605274.8,1599633.8,,,,
1755583558.9346347,867.50916,1646.7766,1160.0366,1137.0696,nan,nan,,,,,,,,,
1755583558.9377570,,,,,,,-0.080078125,0.16625977,0.9909668,,,,,,
1755583558.9402859,790.9524,1391.3187,1056.0806,1112.8938,nan,nan,,,,,,,,,
1755583558.9459369,666.4469,1421.5385,1087.1062,1105.238,nan,nan,,,,,,,,,
1755583558.9515882,661.6117,1650.0,1218.4615,1114.1025,nan,nan,,,,,,,,,
1755583558.9572394,751.8681,1593.5897,1234.9817,1124.9817,nan,nan,,,,,,,,,
1755583558.9628904,741.79486,1557.326,1222.0879,1090.7325,nan,nan,,,,,,,,,
1755583558.9645600,,,,,,,-0.07421875,0.16619873,0.9873657,,,,,,
1755583558.9685416,654.7619,1600.4396,1222.0879,1043.5897,nan,nan,,,,,,,,,
1755583558.9741929,668.0586,1627.033,1243.0403,1078.2417,nan,nan,,,,,,,,,
1755583558.9798439,733.73627,1427.1794,1207.5824,1117.7289,nan,nan,,,,,,,,,
1755583558.9854951,738.1685,1272.0513,1201.5385,1072.1978,nan,nan,,,,,,,,,
